Date,Title
2018-04-17,Microsoft reveals more about the 'blocking bug' that is delaying Windows 10 Spring Creators Update
2018-04-17,Microsoft releases its first Linux product
2018-04-18,Microsoft releases Windows Defender extension for Google Chrome browser
2018-04-18,The best version of OneNote on Windows
2018-04-18,Former Microsoft designer leaks likely future of Windows and Xbox “avatars”
2018-04-19,Microsoft has run out of Windows Phone stock
2018-04-19,Microsoft Office 2019 kills off OneNote desktop app in favor of Windows 10 version
2018-04-20,"Amazon, Microsoft among top companies hiring foreign workers (US News)"
2018-04-20,Microsoft to kill off OneNote's desktop app in Office 2019 to focus on OneNote for Windows 10
2018-04-20,Lenovo is now testing Microsoft's Windows AutoPilot deployment service
2018-04-20,AI-powered offline translation comes to Microsoft Translator apps
2018-04-20,Microsoft's Cortana is the leading voice assistant ... in enterprise
2018-04-22,Here's everything Microsoft got right about today's technology back in 1999
2018-04-22,Google's Project Zero reveals security flaw in Windows 10 S after Microsoft fails to fix it
2018-04-23,Microsoft Ignite Conference worth attending?
2018-04-23,"Industrial customers and partners bet on Microsoft, from cloud to edge devices"
2018-04-24,Microsoft and Discord Team Up to Connect Gamers Across Xbox Live and Discord
2018-04-24,Google Project Zero pulls the rug out from under Microsoft (again)
2018-04-25,"A Halo fan project ""Halo Online"" which was approved by Microsoft 3 years ago, is being shut down by Microsoft."
2018-04-25,Windows 10 Lean: Latest build offers first glimpse of Microsoft's new cut-down OS
2018-04-26,"Microsoft patent features 'hinge gestures,' curved-display correction for rumored 'Andromeda' PC"
2018-04-26,Cloud Act - Microsoft Cloud (OneDrive) in Europe
2018-04-26,Microsoft is designated driver of the tech world
2018-04-26,UWP Bitwarden now in the Microsoft Store
2018-04-26,How Microsoft helped imprison a man for ‘counterfeiting’ software it gives away for free
2018-04-26,Microsoft To-do vs Google Tasks
2018-04-26,Is there anywhere I could get a list of past Microsoft CIOs?
2018-04-27,Microsoft stock up after strong guidance
2018-04-27,Brazil prosecutors say Windows 10 settings violate local laws
2018-04-27,"Hotmail/Outlook requesting age verification, accounts now listed as 'child accounts'"
2018-04-27,Make the most of your time with the new Windows 10 update
2018-04-27,iTunes Finally Debuts in the Microsoft Store
2018-04-28,Is anyone interested in old Partner Program certification signs?
2018-04-28,PoC Code Published for Triggering an Instant BSOD on All Recent Windows Versions
2018-04-28,What's the Point of MSN?
2018-04-29,"If the CEO, Satya Nadella, did an AMA what would you ask him?"
2018-04-30,Richard Stallman talks about Microsoft Azure Sphere OS • r/linux
2018-04-30,Considering getting the Surface Studio. Wondering what experience others have had with it?
2018-05-01,Get ready to view Microsoft as the 'kings of collaboration'.
2018-05-01,The new Outlook.com is awful
2018-05-02,Working at Microsoft: It's more than just a job
2018-05-02,Harman Kardon Invoke Speaker with Cortana Integration = A+
2018-05-04,"Silicon Valley, Conway’s law, and the future of Windows"
2018-05-04,Question for Microsoft Historians
2018-05-04,New patents suggest Microsoft Band fitness tracker may still be on track
2018-05-04,How is Windows 10S doing in the market?
2018-05-04,"New Surface Pro models available: $999 for Core i5, $1,449 with built-in LTE"
2018-05-07,"Microsoft ""Your Phone"" app available on the store to manage your smarphone from your Windows 10 PC"
2018-05-07,"Microsoft doubles down on Android, announces new cross-platform features"
2018-05-07,CLIPPY IS BACK (from the keynote)
2018-05-07,Why we should all be using Windows 95
2018-05-07,Clueless on interview?
2018-05-07,"Alexa - ""I like Cortana. We both have experience with light rings, although hers is more of a #Halo."" 😉"
2018-05-07,How long is this keynote?
2018-05-07,Debating an offer for a Partner Sales Executive (Bing) in India
2018-05-07,Exclusive: How Microsoft CEO Satya Nadella is rethinking Windows
2018-05-07,Report a Gold Partner?
2018-05-07,Microsoft needs to prove it’s not another IBM
2018-05-08,Microsoft is moving Kinect to the cloud
2018-05-08,Microsoft Build 2018: the biggest announcements
2018-05-08,MSBuild Swags
2018-05-08,"Bold call: Microsoft will buy Netflix, predicts media analyst with 40 years of experience"
2018-05-08,Microsoft Tries a New Role: Moral Leader
2018-05-08,Microsoft ups revenue share for developers in the online Store to 95%
2018-05-08,Microsoft store problems
2018-05-08,Microsoft’s new Windows 10 app mirrors your phone’s features to your PC
2018-05-09,"Interview with Shilpa Ranganathan about Microsoft mobile strategy. Reveals issues with iOS and ""Your Phone"" app, Sets will come to phones."
2018-05-09,Microsoft patches critical Windows bug actively exploited in the wild
2018-05-09,Microsoft talks about what happened to the Courier at Build 2018
2018-05-09,Microsoft was too early with gestures as usual.
2018-05-09,Forget Windows PCs. Microsoft wants to power everything.
2018-05-09,Visual Studio support for Windows 10 on ARM development
2018-05-11,Microsoft opens PC games and all Xbox One titles to its digital gifting program
2018-05-11,Microsoft to replace for free Surface Pro 4s with screen-flicker problems
2018-05-11,Surface Pro (2017) owners hitting Win10 1803 update blue screens. Now we know why.
2018-05-11,Microsoft isn't giving up on VR and AR yet
2018-05-12,"Years ago, I saw a ""Microsoft Surface"" electronic table being demonstrated with the tabletop being the sccreen. How come I haven't heard of it since?"
2018-05-12,Tech’s Two Philosophies
2018-05-12,Microsoft Kinect Refuses to Die
2018-05-12,Windows Developer Awards: And the 2018 winners are... - Windows Developer Blog
2018-05-12,Some thoughts on Microsoft Build 2018
2018-05-12,"The Microsoft Surface Studio ad is gone, anyone know why?"
2018-05-14,Microsoft Working to Block Windows 10 April 2018 Update Upgrades from Devices Running with Toshiba Components
2018-05-14,Does Microsoft offer support chat? It only gives me the option to call.
2018-05-15,Interns: Extended-stay hotel experience?
2018-05-15,Meet Surface Hub 2
2018-05-16,"Is Microsoft working on a ""Bing Maps"" app for iOS and Andorid?"
2018-05-16,Certified Microsoft Dynamics CRM Developer
2018-05-16,Microsoft unveils new features for Bing in bid to make you switch from Google
2018-05-16,What would be better option for a student? The surface pro or book?
2018-05-16,Microsoft Plans Low-Cost Tablet Line to Rival iPad
2018-05-16,"Microsoft's Big Ideas Are Awesome, But When Does Reality Catch Up With the Tech?"
2018-05-16,This is Innovation!
2018-05-17,The OneDrive app on Android can now store files on an SD card
2018-05-17,Does Anyone know the music used in the Surface hub 2 reveal video?
2018-05-17,Announcing the Xbox Adaptive Controller for accessible gaming
2018-05-17,How to land a job at Microsoft
2018-05-17,Xbox Adaptive Controller: Why Phil Spencer greenlit the accessibility project
2018-05-17,Microsoft Wins Lucrative Cloud Deal With Intelligence Community
2018-05-18,Microsoft’s new Halo arcade game lives inside a giant coin-operated machine
2018-05-18,Microsoft moves toward consolidating its many speech services
2018-05-20,Microsoft's Building the Next-Gen HoloLens in Broad Daylight
2018-05-20,Satya Nadella's Microsoft is winning over millenials
2018-05-21,Anyone have a CEO friendly definition of Full-Time Equivalent (FTE) Employees for a presentation about Microsoft Pricing?
2018-05-21,Microsoft buys a start-up that wants A.I. to make conversation with humans
2018-05-22,Microsoft CEO Satya Nadella: The whole world is now a computer
2018-05-22,Microsoft is making XiaoIce's full duplex capabilities available for partners and developers
2018-05-22,Microsoft spells out its plans for Semantic Machines
2018-05-22,Microsoft to block Flash in Office 365 starting January 2019.
2018-05-22,"Google and Microsoft disclose new CPU flaw, and the fix can slow machines down"
2018-05-23,Visual Studio 2017 version 15.7.2 Released
2018-05-23,Microsoft to extend GDPR privacy rights to customers worldwide
2018-05-24,Nothing but ‘net: The NBA’s new love for technology like AI
2018-05-24,"Microsoft and Publicis unveil Marcel, an AI-based productivity platform for the ad giant"
2018-05-24,Why is Outlook marking official Apple emails as spam?
2018-05-24,What if the fold out tablet that they use in Westworld is exactly what a Microsoft surface phone could look like?
2018-05-24,Is this spam or directly from Microsoft ? [Email and Content included]
2018-05-27,Introducing the Microsoft Edge DevTools Protocol
2018-05-27,Microsoft stealth-releases new PC racing game Miami Street
2018-05-28,Microsoft is developing a tool to help engineers catch bias in algorithms
2018-05-29,"After installing April creators update on surface book 2 this happens. It loops like 30 seconds then asks me to put in my pin again. Then I do it, it continues"
2018-05-29,Keycaps for a Natural Ergonomic 4000 keyboard?
2018-05-29,Microsoft chief Satya Nadella: 'We're on the right side of history'
2018-05-29,Microsoft To-Do set to begin rolling out List sharing next month
2018-05-30,OneDrive offering 100gb for two years? What's the catch?
2018-05-30,Microsoft: Official Support Thread
2018-05-30,Windows 10 Education - Shape the Future
2018-05-30,"Is there a way to have ""share/send to"" context menu in Explorer to attach a file to a Gmail email?"
2018-05-30,I need help... Malware/Viruses
2018-05-30,Microsoft is now more valuable than Google. It’s worth $753 billion and is the world's third most valuable company.
2018-05-31,Question regarding SCOM
2018-05-31,HP announces the most powerful OMEN 15 Laptop yet
2018-05-31,Dell is reportedly working on a dual-screen Windows ARM device
2018-05-31,"Tech is facing a 'tough summer' for immigration issues, Microsoft's Brad Smith says"
2018-06-01,"If I purchase Microsoft’s protection plan on my XPS 9370, can I swap the SSD for a larger capacity without voiding the plan?"
2018-06-01,Satya Nadella touts Microsoft's research on brain implants
2018-06-01,The Microsoft Launcher for Android now lets you track your kids’ whereabouts
2018-06-01,Snapdragon 850 could power foldable Windows phone/laptop hybrids
2018-06-01,Asus is working on a Windows 10 device with the Snapdragon 1000
2018-06-01,Groove app for Android and iOS is being retired
2018-06-01,Microsoft and GitHub have held acquisition talks
2018-06-02,Alexa Inside: What it’s really like to use Amazon’s voice assistant on a new Windows 10 laptop
2018-06-02,What do we have to do to get WMP to support podcasts?
2018-06-02,Microsoft mixed reality exec Kudo Tsunoda in limbo as engineering reorganization continues
2018-06-02,Redmond Microsoft shuttle
2018-06-03,PSA about Windows' Privacy Settings
2018-06-03,Microsoft has reportedly acquired github
2018-06-04,Microsoft confirms it will acquire GitHub for $7.5 billion
2018-06-04,Microsoft Will Acquire Coding Site GitHub
2018-06-04,Acquiring Github
2018-06-04,Microsoft Embracing Open Source?
2018-06-04,"Tom Warren: ""I often sit and think Microsoft missing the mobile era was the best thing that ever happened to it. Microsoft is far more customer focused, competitive, and embracing other platforms / open source now. The old Microsoft was, let’s face it, a bit of an asshole. Culture has changed"""
2018-06-04,Microsoft confirms it has acquired GitHub for $7.5 billion
2018-06-04,I have a shower thought on the current non-existence of a Microsoft phone
2018-06-05,Microsoft just doesn't get the consumer market — and that could be a fatal flaw
2018-06-05,What developers think of Microsoft buying GitHub
2018-06-05,"Got an e-mail today about ""always connected"" PCs and I have a question."
2018-06-05,Can anyone share their insight about working at a Microsoft Retail store? I have a few questions.
2018-06-05,Good news coming: New Qualcomm Snapdragon 850 chip is exclusively for Windows 10 devices
2018-06-05,I predict an Adobe and Microsoft merger happening eventually.
2018-06-05,Everyone complaining about Microsoft buying GitHub needs to offer a better solution
2018-06-06,How secure is the encryption done by BitLocker?
2018-06-06,Microsoft sinks a data center off the Scottish coast
2018-06-06,Intel teases dual-screen concept PCs as rumors of ARM versions heat up
2018-06-06,Microsoft and GitHub: The Implications for Developers
2018-06-06,"Are Windows machines still banned at the Googleplex ? If so, why? Has that policy been reeavaluated after the initial decision made in 2010?"
2018-06-06,GitHub Billionaires Will Own More Microsoft Stock Than Its CEO
2018-06-06,"University of Illinois, Microsoft Help Students With Autism Pursue Careers"
2018-06-07,Anyone figured out the best way to sync google calendar with Outlook?
2018-06-07,Sources: Microsoft Delays Crackdown 3 To 2019
2018-06-07,Why is Microsoft not interested in buying Spotify?
2018-06-07,Why doesn't Microsoft allow 3rd-party 2FA apps?
2018-06-07,Ubisoft Believes Next Gen Is the Last for Consoles as Microsoft Looks Beyond Platforms
2018-06-08,Internal Microsoft poll shows employees are less satisfied with pay as battle for tech talent heats up
2018-06-08,Office 365 personal costs more on iPhone
2018-06-08,Microsoft’s GitHub acquisition celebrated by Linux Foundation
2018-06-08,"Has Microsoft certification helped in your career prospects? If so, how / how much?"
2018-06-08,I wrote this article detailing why fears of Microsoft peeking into private repo codebase isn't any likelier than Github doing it
2018-06-09,Budget Surface tablet with USB-C rumored to be codenamed ‘Lex’
2018-06-09,"Now that Microsoft has acquired GitHub, what do you think Microsoft do with it?"
2018-06-10,The Elite Microsoft Hacker Team That Keeps Windows PCs Safe
2018-06-10,"What if Microsoft adopted the Open Source Windows clone, ReactOS?"
2018-06-10,Is it possible to turn a child account into an adult account?
2018-06-10,"Microsoft Store Brings Remote App Install to Windows 10 With ""Install on my devices"""
2018-06-11,Excel T-shirt for Girlfriend
2018-06-11,"Microsoft adds five big gaming studios to its family, including Playground Games"
2018-06-11,Is it possible to embed ChakraCore in a game framework?
2018-06-11,Microsoft is building a game streaming service and new Xbox consoles
2018-06-12,Shipping from Canada?
2018-06-12,"Microsoft kills forum support for Office 2013, Surface Pro, Windows 8.1 and more"
2018-06-12,6 Signs Microsoft Is Really a Fan of Linux
2018-06-13,"did anyone else just get a desktop notification saying ""GOAL GOAL GOAL"" follow your favourite teams in the world cup ??? I was a little frustrated such assumption or advertsing would be made by MS direct to me, another friend in the UK also saw this this evening, so i'd assume its not malware"
2018-06-13,Google Pixelbook may receive Windows 10 certification from Microsoft
2018-06-13,Got a question about the Arc Touch SE mouse (the bluetooth one)
2018-06-13,"Microsoft “Andromeda” this year, new HoloLens in 2019, and the next Xbox in 2020"
2018-06-13,Xbox Shows Microsoft Playing the Long Game
2018-06-13,Microsoft Office’s new Fluent Design overhaul makes it easier to use - The Verge
2018-06-14,Microsoft is bringing its SwiftKey keyboard to Windows 10
2018-06-14,Microsoft is ’reworking’ its Xbox app for Windows 10 to focus on PC gamers
2018-06-14,Exclusive: Microsoft takes aim at Amazon with push for checkout-free retail
2018-06-15,What is the link of the page in this picture ?
2018-06-15,"Microsoft's Andromeda Could Launch in 2018, And Here's What it Looks Like"
2018-06-15,Sony's Attitude Towards Nintendo & Microsoft Only Hurts Fortnite Crossplay
2018-06-15,Microsoft is using AI to make Windows 10 updates smoother
2018-06-15,Cold Fusion: Gary Kildall- The man who could have been Bill Gates (Q-DOS)
2018-06-16,"Amazon, Microsoft, and Uber are paying big money to kill a California privacy initiative"
2018-06-16,Microsoft and WhatsApp may be working together on a new UWP app for Windows 10
2018-06-17,Games for windows live
2018-06-17,HQ Campus
2018-06-18,Sony vs. Microsoft: Who Won E3 2018?
2018-06-18,Microsoft acquires education start-up Flipgrid in latest challenge to Google
2018-06-18,Microsoft Employees Up in Arms Over Cloud Contract With ICE
2018-06-18,What certs/materials to study are needed to become a MS engineer?
2018-06-19,Everything Microsoft has said about the new Xbox
2018-06-19,Microsoft says it’s ‘dismayed’ by child separations after criticism over ICE contract
2018-06-20,Microsoft starts testing new diverse Xbox Live avatars
2018-06-20,Microsoft CEO plays down ICE contract in internal memo to employees
2018-06-20,Ad blocking is coming to Microsoft Edge for Android
2018-06-21,Here is what is wrong with the new Microsoft News app - gHacks Tech News
2018-06-21,"Microsoft Brings Visual Search to Bing, Edge, Launcher"
2018-06-21,Microsoft: This Azure password-banning tool will help kill off bad 'P@$$w0rd' habits
2018-06-21,Microsoft says it’s no longer planning VR support on Xbox
2018-06-22,Microsoft and EY Launch Blockchain Tool for Copyright
2018-06-22,Microsoft Store - In Person
2018-06-22,Microsoft and Nintendo release Minecraft trailer focused on cross-play
2018-06-23,"Like “IBM’s Work During the Holocaust”: Inside Microsoft, Growing Outrage Over a Contract with ICE"
2018-06-23,Marks & Spencer teams with Microsoft to bring artificial intelligence into stores [UK]
2018-06-23,"Microsoft Store will soon have wish list, new navigation panel, and installation on other devices"
2018-06-23,Solitaire
2018-06-23,GitHub devs warn Microsoft 'ditch that contract with ICE or lose us' | TheINQUIRER
2018-06-23,Microsoft Launcher beta brings support for multi-turn SMS + calling with Cortana and more
2018-06-23,Is the domain w2.outlook.com legit ?
2018-06-23,Can I take my HP laptop bought through the Microsoft Store to a Microsoft Store physical location for service? Or do I need to talk to HP?
2018-06-23,Microsoft Rewards explained – you can get Starbucks and Xbox gift cards just by searching with Bing [UK]
2018-06-23,Edge for Android hits 5 million downloads
2018-06-23,"More details leak on “Snapdragon 1000,” Qualcomm’s chip for Windows 10 laptops"
2018-06-23,"New Surface Laptop with a Core i5, 8GB RAM, and 128GB SSD has the same price as 4GB"
2018-06-24,Microsoft and Razer might be working on an Xbox keyboard and mouse partnership
2018-06-24,Coding AR for Hololens (N00B Question)
2018-06-24,"Microsoft is considering the Snapdragon 1000 for future AR and VR devices, as well as desktop PCs"
2018-06-24,Microsoft unexpectedly drops Windows 7 support for some ancient CPUs
2018-06-24,New $999 Surface Laptop configuration now available from Microsoft • [X-Post r/Surface]
2018-06-24,Microsoft Outlook now lets you block external images
2018-06-25,Does Microsoft US online store ship to the UK?
2018-06-25,Microsoft’s Surface USB-C dongle launches on June 29th for $79.99
2018-06-25,Are Microsoft Professional Program Certifications worth it?
2018-06-25,Ex-Microsoft CEO Ballmer: How Silicon Valley should handle some of its most vexing questions
2018-06-25,GitHub Is Microsoft’s $7.5 Billion Undo Button
2018-06-25,Microsoft’s next HoloLens could be getting a more immersive field of view
2018-06-25,Microsoft Research cracks the curse of the group photo
2018-06-25,Microsoft Edge browser to get much improved Settings page in next build
2018-06-26,Microsoft updates Windows 10 News app with rebrand and new design
2018-06-26,"A legend reborn: Microsoft brings back the iconic mouse, the Classic IntelliMouse"
2018-06-26,Analyst firm: Microsoft Azure revenue to reach $115 billion in next 10 years
2018-06-27,Microsoft explains why it brought back the IntelliMouse Classic
2018-06-27,"Microsoft is updating Weather, Money, and Sports apps on Windows 10 with Fluent Design"
2018-06-28,Microsoft pulls Windows Sets “tabbed windows” feature from next release
2018-06-28,Microsoft’s facial recognition service now less bad for nonwhites
2018-06-28,Microsoft and mobile: Can it stop shooting itself in the foot?
2018-06-28,Microsoft Healthcare is a new effort to push doctors to the cloud
2018-06-28,Oculus Drops Support for Windows 7 & 8.1
2018-06-28,Google admits it lost out to Microsoft buying GitHub
2018-06-29,"With Windows 10 and Surface, Microsoft is (finally) making real consumer gains"
2018-06-29,Sources: Google Is Planning A Game Platform That Could Take On Xbox And PlayStation
2018-06-29,Microsoft is updating its Skype app for Windows 10 with a new design and more
2018-06-29,Microsoft details secret ‘pocketable’ Surface device in leaked email
2018-06-30,GitHub Developers Are Giving Microsoft a Chance
2018-06-30,Amazon Fire tablet gets Trending news section powered by Microsoft News
2018-06-30,Chime in: Have you had Surface Pen accuracy issues?
2018-06-30,Microsoft Surface Chief Panos Panay Hints At Revolutionary Dual-Screen Andromeda Mobile Device
2018-07-01,Outlook Now Lets You Avoid Distractions on Android and iOS
2018-07-02,Microsoft has been dreaming of a pocketable dual-screen Surface device for years
2018-07-02,Don't expect Microsoft's Andromeda this year... or maybe ever
2018-07-02,Microsoft's improved facial recognition tech aims for inclusion
2018-07-02,OneDrive sync on Android doesn't separate content by folder
2018-07-02,When are ignite sessions posted
2018-07-02,"Why Microsoft, Samsung and Others Are Interested in Foldable Displays"
2018-07-02,Microsoft is selling the Surface Studio for up to £1000 off in the UK
2018-07-03,"Microsoft’s $400 Surface tablet hits the FCC, could launch soon"
2018-07-03,Uber relaunches as a Progressive Web App on Windows 10
2018-07-03,"Dear Microsoft, don't kill the Surface Phone"
2018-07-04,Microsoft's original Xbox prototype sits proudly on display at company's visitor center
2018-07-04,Can we all take a second to appreciate how good Microsoft customer service is?
2018-07-04,Isn’t it time we declared our independence from bloatware?
2018-07-05,Interesting fact I learned today about the Surface Book 2
2018-07-05,Microsoft Edge is immune to the Download Bomb exploit
2018-07-05,Microsoft teases new Outlook.com dark mode
2018-07-05,Microsoft reportedly making Movies & TV apps for iOS and Android
2018-07-05,"Microsoft: Just bite the bullet, release Surface Andromeda"
2018-07-06,12 reasons we're proud to be Windows users — #PCProud
2018-07-06,PSA : Do Not Try To Redeem Bitcoin In Your Microsoft Account
2018-07-06,Xbox One’s July update includes a clever new FastStart feature for game downloads
2018-07-06,"Tom Warren: ""So like @maryjofoley I'm hearing Andromeda is definitely not coming in 2018. OEM devices may come, but not with Andromeda OS as it's not ready. The entire project is now under review because there's no app ecosystem to support it"""
2018-07-06,"Windows 10 at 3: The Good, the Bad, and the Ugly"
2018-07-06,Why Microsoft doesn't create its own video streaming service like youtube? Or expand their current Mixer platform?
2018-07-06,Microsoft store (brick and mortar) is way better than the Apple store
2018-07-06,Microsoft Launcher for Android Gets a Big Update With Lots of New Features
2018-07-07,Idea for OneGuide
2018-07-07,Microsoft no longer lets you switch regions in the Microsoft Store
2018-07-07,"Microsoft Launcher, Movies & TV For Android Underscores How Redmond Is Embracing The Droid"
2018-07-07,Microsoft Azure CTO: AI and machine learning “are going to transform every industry”
2018-07-07,Microsoft fans are signing a petition to save the Surface Phone
2018-07-08,Microsoft opens flagship Surface store in Taipei
2018-07-08,Microsoft starts rolling out new look OneNote UWP app to Office 2019 Insiders
2018-07-08,Why Bing Isn't a Failure (& the Future of the Internet)
2018-07-09,Inside Xbox Returns July 10
2018-07-09,"Mobile apps wanted to supplement desktop apps, now they might supplant them"
2018-07-09,Microsoft's $400 Surface Tablet Reportedly Launching This Week
2018-07-10,Introducing Microsoft Surface Go
2018-07-10,Microsoft Blog: Meet the Surface Go – $399 MSRP
2018-07-10,Microsoft customer support is amazing
2018-07-10,Hands On: Microsoft's Surface Go
2018-07-11,Microsoft Posts New Patch Tuesday Release
2018-07-11,"Zac Bowden: ""So, since the Surface Go features a 10-inch screen, Office Mobile should technically be free forever on it. Surprised Microsoft isn't advertising this fact more openly."""
2018-07-12,Microsoft Service Advisor
2018-07-12,Microsoft already working on next-gen operating system? - gHacks Tech News
2018-07-12,Microsoft launches free version of Teams
2018-07-12,Four reasons why the Surface Go's bezels are so thick
2018-07-13,Surface Go uses Intel over Qualcomm because it's the 'best of the least' (for now)
2018-07-13,Retailers push cloud-data start-up Snowflake to partner with Microsoft instead of Amazon
2018-07-13,Does the whiteboard app have co-authoring?
2018-07-13,Microsoft Urges Congress to Regulate Use of Facial Recognition
2018-07-14,PC market appears to have grown for the first time since 2012
2018-07-14,Microsoft’s Container Strategy Continues To Evolve
2018-07-15,Why not just keep wunderlist?
2018-07-16,What I Learned Working for Steve Ballmer
2018-07-16,Latest Firefox Nightly builds add support for Windows 10 dark themes
2018-07-16,Chrome and Firefox gain Windows Timeline integration via add-on
2018-07-16,Microsoft developing an Android phone?
2018-07-16,Skype’s desktop app is getting a new mobile-like design today
2018-07-17,Avocor previews its new Windows Collaboration Displays at Microsoft Inspire
2018-07-17,MDM Like solution for Microsoft Products?
2018-07-17,Microsoft to Retire Windows 10 Delta Updates in 2019
2018-07-17,Microsoft and Walmart team up to take on Amazon
2018-07-18,Unofficial Google Web Apps pulled from the Microsoft Store
2018-07-18,Microsoft is making the Windows command line a lot better
2018-07-18,Microsoft adds two more games to Xbox One Backward Compatibility
2018-07-18,Which is the best Microsoft Office software to learn for teachers?
2018-07-18,Microsoft’s sales overhaul a year ago has led to all-time high stock price and continuing cloud growth
2018-07-18,Microsoft teases ‘all-new Xbox hardware’ announcement for next month
2018-07-19,Will Rocko be the spokesman for Microsoft Modern Life?
2018-07-19,OneNote for Windows 10 picks up flurry of new features
2018-07-19,‘Magic of nature’: Disney’s smart birdhouses reveal the secret lives of purple martins | Microsoft Collaboration
2018-07-19,Is Office free now?
2018-07-19,"Tom Warren: ""Microsoft CEO Satya Nadella has spent a big chunk of time demonstrating Microsoft 365 on Android today. It's slightly surreal given the Google EU fine today, but it's clear Microsoft is really committed to Android apps"""
2018-07-19,Microsoft Launcher upcoming update to add custom app icon and folder gestures
2018-07-19,"Microsoft reports $30.1 billion in Q4 2018 revenue: Azure up 89%, Surface up 25%, and Windows up 7%"
2018-07-20,"Microsoft Store rolls out new look for app pages, remote installs on Windows 10"
2018-07-20,Microsoft crosses $100 billion annual revenue mark for the first time
2018-07-20,Microsoft is exploring new ways to seriously bolster its app line-up ahead of Surface Phone
2018-07-20,"Steve Ballmer says he and Bill Gates recommended Nadella as Microsoft CEO, praises his performance"
2018-07-21,"Facebook, Google, Microsoft, and Twitter will now let you transfer data between their services - MIT Technology Review"
2018-07-21,Microsoft exec: We stopped Russia from hacking 3 congressional campaigns
2018-07-22,"Microsoft CEO Satya Nadella's master plan is clearly working, and the company is soaring towards $1 trillion"
2018-07-22,Windows on Xbox?
2018-07-22,XSS protection disappears from Microsoft Edge
2018-07-22,Steve Ballmer Explains Rise From Bill Gates's Assistant to Microsoft CEO
2018-07-23,Google echo system but curious about MS...
2018-07-23,Learn at your own pace with Microsoft Quantum Katas
2018-07-23,How are PWA's being added to the store?
2018-07-23,A Few More Details About Microsoft's Xbox Scarlett Game Streaming Service
2018-07-23,I just got 1 TB free of OneDrive but idk why
2018-07-24,Translation issue in .NET Docs: Dos and Don'ts are mixed up and documentation team is not fixing because fix could not meet style guidelines - is there really no other ways?
2018-07-24,Tablet Mode: Windows 10 vs Windows 8 | Windows Central video
2018-07-25,Certification for Help Desk Operations?
2018-07-25,Windows 10's tablet mode will be Surface Go's biggest weakness
2018-07-25,How Microsoft went from a Consumer Focused to Enterprise Focused Business
2018-07-25,Why YouTube is so slow in Microsoft Edge (and how to fix it)
